Lambda,Wave_number,eV,Epsilon,Error_Epsilon,Observation,Number_id,Author,Reference_number,Year_publication,Comments
299.7,NULL,NULL,434.00,NULL,NULL,456,AICKIN,1452,1939,NULL
299.7,NULL,NULL,333.00,NULL,NULL,146,AICKIN,1452,1939,"em H2SO4 1M"
299.7,NULL,NULL,233.00,NULL,NULL,489,AICKIN,1452,1939,NULL
299.7,NULL,NULL,201.00,NULL,NULL,457,AICKIN,1452,1939,NULL
300.0,NULL,NULL,49540.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
300.0,NULL,NULL,15940.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
300.0,NULL,NULL,15000.00,NULL,NULL,152,CERCEK,1483,1964,"from graphic"
300.0,NULL,NULL,11650.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
300.0,NULL,NULL,7330.00,NULL,NULL,152,DANIELE,1434,1960,"from graphic"
300.0,NULL,NULL,1161.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
300.0,NULL,NULL,1105.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
300.0,0,NULL,1061.00,NULL,"at 20,7 °C",33,RAHN,6490,1997,"using iodide as an actinometer"
300.0,NULL,NULL,439.00,NULL,NULL,102,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
300.0,NULL,NULL,434.00,NULL,NULL,165,SIRIMUNGKALA,3673,1999,NULL
300.0,NULL,NULL,300.00,NULL,NULL,86,TAUBE,3617,1957,NULL
300.0,NULL,NULL,287.00,NULL,NULL,86,HART,3614,1983,NULL
300.0,NULL,NULL,215.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
300.0,NULL,NULL,190.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
300.0,NULL,NULL,150.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"citation for Troy, 1018 (1991)"
300.0,NULL,NULL,146.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
300.0,NULL,NULL,140.50,NULL,NULL,180,LEE,710,1971,NULL
300.0,NULL,NULL,140.00,NULL,NULL,105,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
300.0,NULL,NULL,133.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
300.0,0,NULL,126.00,NULL,"log(epsilon) = 2,1",180,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
300.0,NULL,NULL,112.40,NULL,NULL,195,LEE,710,1971,NULL
300.0,NULL,NULL,90.00,NULL,NULL,146,SIRIMUNGKALA,3673,1999,NULL
300.0,NULL,NULL,81.00,NULL,min.,146,GUTMANN,1433,1968," measuring by the figure"
300.0,NULL,NULL,75.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
300.0,NULL,NULL,53.00,NULL,NULL,182,ARIESE,739,1986,NULL
300.0,NULL,NULL,50.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"citation for Troy, 1018 (1991)"
300.0,NULL,NULL,43.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
300.0,NULL,NULL,42.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
300.0,NULL,NULL,41.00,NULL,NULL,165,FÖRSTERLING,740,1980,"quoting Betts, 839 (1951)"
300.0,NULL,NULL,40.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
300.0,0,NULL,40.00,NULL,"log(epsilon) = 1,6",165,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
300.0,NULL,NULL,31.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
300.0,NULL,NULL,12.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
300.0,NULL,NULL,9.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
300.0,NULL,NULL,5.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
301.0,33223,0.0,NULL,NULL,"max. band IX",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
302.0,NULL,NULL,1143.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
302.0,NULL,NULL,1088.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
302.0,NULL,NULL,724.00,NULL,max.,252,"WETTERS & UGLUM",5437,1970,"half neutral"
302.0,0,NULL,724.00,NULL,max,252,SANT'ANNA,6064,2017,"quoting Wetters, 5437(1970)"
302.0,NULL,NULL,721.00,NULL,max.,700,"WETTERS & UGLUM",5437,1970,NULL
302.0,NULL,NULL,NULL,NULL,max.,252,"SUZUKI e KURODA",5915,1987,NULL
303.0,0,NULL,43000.00,NULL,"em KCNS 8 M",747,MEYERSTEIN,6225,1968,"measuring and citing ref 6236(1962)"
303.0,NULL,NULL,12500.00,NULL,NULL,373,DUBOIS,1232,1963,NULL
303.0,NULL,NULL,12.00,NULL,NULL,367,DUBOIS,1232,1963,NULL
303.6,NULL,NULL,430.00,NULL,NULL,456,AICKIN,1452,1939,NULL
303.6,NULL,NULL,269.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
303.6,NULL,NULL,206.00,NULL,NULL,489,AICKIN,1452,1939,NULL
303.6,NULL,NULL,168.00,NULL,NULL,457,AICKIN,1452,1939,NULL
304.0,NULL,NULL,1560.00,NULL,NULL,138,BUSER,4505,1952,NULL
304.0,NULL,NULL,1121.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
304.0,NULL,NULL,1068.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
305.0,NULL,NULL,1500.00,100,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
305.0,NULL,NULL,160.00,NULL,NULL,86,TAUBE,3617,1957,NULL
305.0,NULL,NULL,52.00,2,NULL,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
305.0,NULL,NULL,9.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
306.0,NULL,NULL,1096.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
306.0,NULL,NULL,1045.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
306.3,NULL,NULL,397.00,NULL,NULL,456,AICKIN,1452,1939,NULL
306.3,NULL,NULL,230.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
306.3,NULL,NULL,182.00,NULL,NULL,489,AICKIN,1452,1939,NULL
306.3,NULL,NULL,143.00,NULL,NULL,457,AICKIN,1452,1939,NULL
308.0,NULL,NULL,1070.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
308.0,NULL,NULL,1022.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
309.0,32363,0.0,NULL,NULL,"max. band VIII",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
309.4,NULL,NULL,399.00,NULL,NULL,456,AICKIN,1452,1939,NULL
309.4,NULL,NULL,196.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
309.4,NULL,NULL,158.00,NULL,NULL,489,AICKIN,1452,1939,NULL
309.4,NULL,NULL,115.00,NULL,NULL,457,AICKIN,1452,1939,NULL
310.0,NULL,NULL,7400000.00,NULL,NULL,152,KSHIRSAGAR,89,1988,"in 1M H2SO4"
310.0,NULL,NULL,53850.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
310.0,NULL,NULL,10000.00,NULL,NULL,152,CERCEK,1483,1964,"from graphic"
310.0,NULL,NULL,9565.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
310.0,NULL,NULL,7640.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,4740.00,NULL,NULL,152,DANIELE,1434,1960,"from graphic"
310.0,NULL,NULL,1044.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
310.0,NULL,NULL,996.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
310.0,NULL,NULL,237.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
310.0,NULL,NULL,220.20,NULL,NULL,180,LEE,710,1971,NULL
310.0,NULL,NULL,200.00,NULL,NULL,61,PAQUETTE,684,1985,NULL
310.0,NULL,NULL,198.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,164.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
310.0,NULL,NULL,100.00,NULL,NULL,195,LEE,710,1971,NULL
310.0,NULL,NULL,89.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
310.0,NULL,NULL,86.00,NULL,NULL,86,TAUBE,3617,1957,NULL
310.0,NULL,NULL,79.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,51.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,37.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
310.0,NULL,NULL,36.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
310.0,NULL,NULL,36.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,10.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
310.0,NULL,NULL,9.00,NULL,NULL,146,KSHIRSAGAR,89,1988,"in 1M H2SO4"
310.0,NULL,NULL,9.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
310.0,NULL,NULL,5.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
310.0,NULL,NULL,NULL,NULL,max.,382,KLÄNING,4147,1984,NULL
312.0,NULL,NULL,1017.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
312.0,NULL,NULL,973.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
312.0,0,NULL,NULL,NULL,"isosb. HNO2/NO3-",241,SANT'ANNA,6064,2017,"chlorate-HNO2 kinetics"
312.0,0,NULL,NULL,NULL,"isosb. HNO2/NO3-",252,SANT'ANNA,6064,2017,"chlorate-HNO2 kinetics"
312.6,NULL,NULL,935.00,NULL,NULL,457,AICKIN,1452,1939,NULL
312.6,NULL,NULL,462.00,NULL,NULL,456,AICKIN,1452,1939,NULL
312.6,NULL,NULL,160.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
312.6,NULL,NULL,146.00,NULL,NULL,489,AICKIN,1452,1939,NULL
313.0,NULL,NULL,8750.00,NULL,NULL,373,DUBOIS,1232,1963,NULL
313.0,NULL,NULL,60.00,NULL,NULL,86,TAUBE,3617,1957,NULL
313.0,NULL,NULL,17.00,NULL,NULL,367,DUBOIS,1232,1963,NULL
314.0,NULL,NULL,995.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
314.0,NULL,NULL,950.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
314.0,NULL,NULL,125.00,NULL,NULL,138,BUSER,4505,1952,NULL
314.7,NULL,NULL,785.00,NULL,NULL,457,AICKIN,1452,1939,NULL
314.7,NULL,NULL,403.00,NULL,NULL,456,AICKIN,1452,1939,NULL
314.7,NULL,NULL,201.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
314.7,NULL,NULL,130.00,NULL,NULL,489,AICKIN,1452,1939,NULL
315.0,NULL,NULL,1800.00,100,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
315.0,NULL,NULL,1000.00,NULL,max.,546,AMICHAI,3660,1970,"BrO3(-)aq pulse radiolysis"
315.0,NULL,NULL,66.00,2,NULL,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
316.0,NULL,NULL,973.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
316.0,NULL,NULL,929.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
317.0,31546,0.0,NULL,NULL,"max. band VII",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
317.5,NULL,NULL,5440.00,NULL,"should be a max.",155,BARKIN,873,1977,"in 3N H2SO4"
317.5,NULL,NULL,652.00,NULL,NULL,457,AICKIN,1452,1939,NULL
317.5,NULL,NULL,376.00,NULL,NULL,456,AICKIN,1452,1939,NULL
317.5,NULL,NULL,195.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
317.5,NULL,NULL,113.00,NULL,NULL,489,AICKIN,1452,1939,NULL
317.7,NULL,NULL,NULL,NULL,"~318 - 0 (!) Douglas",699,PORTER,5439,1951,"photographic plate"
318.0,NULL,NULL,5500.00,NULL,NULL,155,"FIELD e BOYD",107,1985,"does not quote ref., use for H2SO4=1 M"
318.0,NULL,NULL,954.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
318.0,NULL,NULL,911.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
318.0,NULL,NULL,11.00,NULL,"max. band VII, shoulder",241,"GOMES & DOUGLAS FRANCO",5436,1993,NULL
318.0,NULL,NULL,NULL,NULL,max,155,STUK,1001,1990,NULL
319.0,NULL,NULL,100.00,NULL,NULL,138,BUSER,4505,1952,NULL
320.0,NULL,NULL,51640.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
320.0,NULL,NULL,7500.00,NULL,NULL,152,CERCEK,1483,1964,"from graphic"
320.0,NULL,NULL,6750.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
320.0,NULL,NULL,5520.00,NULL,NULL,155,HSU,1247,1969,"cit.p/Kasperek,834(1971)"
320.0,NULL,NULL,4900.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,2590.00,NULL,NULL,152,DANIELE,1434,1960,"from graphic"
320.0,NULL,NULL,938.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
320.0,NULL,NULL,895.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
320.0,NULL,NULL,690.00,NULL,NULL,102,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
320.0,NULL,NULL,321.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
320.0,NULL,NULL,284.50,NULL,NULL,180,LEE,710,1971,NULL
320.0,NULL,NULL,197.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,181.00,NULL,NULL,105,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
320.0,NULL,NULL,132.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
320.0,NULL,NULL,90.00,NULL,NULL,195,LEE,710,1971,NULL
320.0,NULL,NULL,80.00,NULL,max.,102,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,74.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,65.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
320.0,NULL,NULL,34.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
320.0,NULL,NULL,33.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
320.0,NULL,NULL,32.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,25.00,NULL,NULL,86,TAUBE,3617,1957,NULL
320.0,NULL,NULL,17.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
320.0,NULL,NULL,14.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
320.0,NULL,NULL,12.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
320.0,NULL,NULL,NULL,NULL,min.,66,SILVA,3544,1998,NULL
320.0,NULL,NULL,NULL,NULL,"2° max.",165,ANBAR,919,1954,"maximum second, practically a shoulder"
320.3,NULL,NULL,NULL,NULL,"~325 - 5 Douglas",699,PORTER,5439,1951,"photographic plate"
320.5,NULL,NULL,NULL,NULL,"weak shoulder",405,LEVASON,1425,1990,"in matrix of N2(s) at 12 K"
320.8,NULL,NULL,527.00,NULL,NULL,457,AICKIN,1452,1939,NULL
320.8,NULL,NULL,339.00,NULL,NULL,456,AICKIN,1452,1939,NULL
320.8,NULL,NULL,186.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
320.8,NULL,NULL,102.00,NULL,NULL,489,AICKIN,1452,1939,NULL
322.0,NULL,NULL,923.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
322.0,NULL,NULL,881.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
323.0,NULL,NULL,5900.00,NULL,NULL,373,DUBOIS,1232,1963,NULL
323.0,NULL,NULL,940.00,NULL,max,458,GALAL-GORCHEV,1019,1965,NULL
323.0,NULL,NULL,940.00,NULL,max.,458,GALAL-GORCHEV,1019,1965,"cit.p/Soulard, 686(1981)"
323.0,NULL,NULL,490.00,NULL,max.,458,SOULARD,686,1981,NULL
323.0,NULL,NULL,68.00,NULL,max.,102,SOULARD,686,1981,NULL
323.0,NULL,NULL,37.00,NULL,NULL,367,DUBOIS,1232,1963,NULL
323.0,0,0.0,11.00,NULL,"isosb. HNO2/NO2-",241,RIORDAN,6539,2005,"seeing the intersection of the curves by Table 3"
323.0,0,0.0,11.00,NULL,"isosb. HNO2/NO2-",242,RIORDAN,6539,2005,"seeing the intersection of the curves by Table 3"
324.0,NULL,NULL,909.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
324.0,NULL,NULL,868.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
324.8,NULL,NULL,857.00,NULL,NULL,489,AICKIN,1452,1939,NULL
324.8,NULL,NULL,328.00,NULL,NULL,456,AICKIN,1452,1939,NULL
324.8,NULL,NULL,218.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
325.0,NULL,NULL,1800.00,20,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
325.0,NULL,NULL,697.00,NULL,max.,102,"COOPER & MARGERUM",2067,1993,"quoted by Wang,4661(1994)"
325.0,NULL,NULL,697.00,NULL,max.,102,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
325.0,NULL,NULL,193.00,NULL,max.,105,ZIMMERMAN,670,1957,"cit.p/Soulard, 686(1981)"
325.0,NULL,NULL,182.00,NULL,NULL,105,"Cooper, Margerum",2067,1993,"citing Wang,3777(1994); values ​​differ"
325.0,NULL,NULL,178.00,NULL,NULL,146,GUTMANN,1433,1968," measuring by the figure"
325.0,NULL,NULL,85.00,NULL,max.,105,SOULARD,686,1981,NULL
325.0,NULL,NULL,75.00,NULL,max.,102,ZIMMERMAN,670,1957,"cit.p/Soulard, 686(1981)"
325.0,NULL,NULL,70.00,2,max.,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
325.0,0,NULL,70.00,NULL,NULL,102,SANT'ANNA,5806,2012,"chlorate-chloride kinetics"
325.0,NULL,NULL,15.00,NULL,"max. band VI, shoulder",241,"GOMES & DOUGLAS FRANCO",5436,1993,NULL
326.0,NULL,NULL,896.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
326.0,NULL,NULL,855.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
326.0,30675,0.0,NULL,NULL,"max. band VI",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
326.5,NULL,NULL,NULL,NULL,"isosb. HNO2/NO2-",241,Arakaki,5460,1999,NULL
326.5,NULL,NULL,NULL,NULL,"isosb. HNO2/nitrito",242,ARAKAKI,5460,1999,NULL
327.4,NULL,NULL,622.00,NULL,NULL,489,AICKIN,1452,1939,NULL
327.4,NULL,NULL,335.00,NULL,NULL,456,AICKIN,1452,1939,NULL
327.4,NULL,NULL,245.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
327.7,NULL,NULL,2.00,NULL,"ñ vista por Douglas",699,PORTER,5439,1951,"photographic plate"
328.0,NULL,NULL,884.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
328.0,NULL,NULL,843.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
329.0,NULL,NULL,17400.00,NULL,NULL,66,TROY,1018,1991,"determined by this author"
329.0,NULL,NULL,345.00,NULL,max.,180,SOULARD,686,1981,NULL
329.0,NULL,NULL,343.00,NULL,max,180,GALAL-GORCHEV,1019,1965,NULL
329.0,NULL,NULL,332.00,NULL,max,180,TROY,1018,1991,NULL
329.0,NULL,NULL,30.00,NULL,NULL,47,TROY,1018,1991,NULL
329.3,NULL,NULL,1690.00,NULL,NULL,490,AICKIN,1452,1939,NULL
329.3,NULL,NULL,617.00,NULL,NULL,489,AICKIN,1452,1939,NULL
329.3,NULL,NULL,362.00,NULL,NULL,457,AICKIN,1452,1939,NULL
329.3,NULL,NULL,335.00,NULL,NULL,456,AICKIN,1452,1939,NULL
329.3,NULL,NULL,300.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
330.0,NULL,NULL,42400.00,NULL,NULL,662,BELLUCCI,2130,1989,"by deconvolution"
330.0,NULL,NULL,5005.00,NULL,NULL,661,BELLUCCI,2130,1989,"by deconvolution"
330.0,NULL,NULL,3000.00,NULL,NULL,152,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,NULL,NULL,2150.00,NULL,NULL,152,DANIELE,1434,1960,"from graphic"
330.0,NULL,NULL,869.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
330.0,NULL,NULL,829.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
330.0,NULL,NULL,338.00,NULL,NULL,180,GALAL-GORCHEV,1019,1965,"in KOH 0.1 M, from the chart"
330.0,NULL,NULL,303.20,NULL,max,180,LEE,710,1971,NULL
330.0,0,NULL,282.00,NULL,"log(epsilon) = 2,45 (max.)",180,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
330.0,NULL,NULL,198.00,NULL,NULL,105,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,NULL,NULL,100.00,NULL,NULL,152,GILBERT,1168,1931,"from graphic"
330.0,NULL,NULL,86.00,NULL,NULL,151,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,NULL,NULL,83.60,NULL,NULL,195,LEE,710,1971,NULL
330.0,NULL,NULL,77.00,NULL,NULL,660,BELLUCCI,2130,1989,"by deconvolution"
330.0,NULL,NULL,75.00,NULL,NULL,102,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,NULL,NULL,32.00,NULL,NULL,165,BETTS,839,1951,"cit.p/Ariese,739(1986)"
330.0,NULL,NULL,31.00,NULL,NULL,146,GALAL-GORCHEV,1019,1965,"in 0.1 M HClO4, from the graph"
330.0,NULL,NULL,30.00,NULL,NULL,165,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
330.0,NULL,NULL,29.00,NULL,NULL,165,GALAL-GORCHEV,1019,1965,"in HClO4 1E-4 M, from graph"
330.0,NULL,NULL,28.00,NULL,NULL,165,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,NULL,NULL,27.00,NULL,NULL,146,BETTS,839,1951,"in HClO4 1.66 M, from the graph"
330.0,NULL,NULL,25.00,NULL,NULL,146,RAPHAEL,2184,1988,"in 2M HClO4"
330.0,0,NULL,25.00,NULL,"log(epsilon) = 1,39",165,FARKAS,1438,1948,"estimated from the graph in log(epsilon)"
330.0,NULL,NULL,21.00,NULL,NULL,182,ARIESE,739,1986,NULL
330.0,NULL,NULL,8.00,NULL,NULL,86,TAUBE,3617,1957,NULL
330.0,NULL,NULL,NULL,NULL,max.,180,KLÄNING,4147,1984,NULL
330.6,NULL,NULL,3.00,NULL,"~337 - 6 Douglas",699,PORTER,5439,1951,"photographic plate"
331.0,NULL,NULL,326.00,NULL,max,180,CHEEK,921,1963,NULL
332.0,NULL,NULL,854.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
332.0,NULL,NULL,815.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
333.0,NULL,NULL,3800.00,NULL,NULL,373,DUBOIS,1232,1963,NULL
333.0,NULL,NULL,3048.00,NULL,NULL,180,LISTER,699,1971,NULL
333.0,NULL,NULL,814.00,NULL,NULL,195,LISTER,699,1971,NULL
333.0,NULL,NULL,175.00,NULL,max,180,ANBAR,919,1954,"from Fig., PALMER,9(1986) read 173"
333.0,NULL,NULL,68.00,NULL,NULL,367,DUBOIS,1232,1963,NULL
333.0,NULL,NULL,NULL,NULL,NULL,352,PORTER,5439,1951,"photographic plate"
333.8,NULL,NULL,1433.00,NULL,NULL,490,AICKIN,1452,1939,NULL
333.8,NULL,NULL,897.00,NULL,NULL,491,AICKIN,1452,1939,NULL
333.8,NULL,NULL,514.00,NULL,NULL,489,AICKIN,1452,1939,NULL
333.8,NULL,NULL,411.00,NULL,NULL,146,AICKIN,1452,1939,"in 1M H2SO4"
333.8,NULL,NULL,386.00,NULL,NULL,457,AICKIN,1452,1939,NULL
333.8,NULL,NULL,321.00,NULL,NULL,456,AICKIN,1452,1939,NULL
334.0,NULL,NULL,838.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
334.0,NULL,NULL,798.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
335.0,NULL,NULL,1700.00,20,NULL,105,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
335.0,NULL,NULL,250.00,NULL,NULL,67,PASCAL(pg.574),827,1960,NULL
335.0,NULL,NULL,64.00,2,NULL,102,"Wang et al",3777,1994,"cited by Cooper,2067(1993) val.diferem"
335.0,29851,0.0,NULL,NULL,"max. band V",241,RIORDAN,6539,2005,"one of the top 10 but gives the ref. wrong (gas phase)"
336.0,NULL,NULL,818.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1e-3"
336.0,NULL,NULL,780.00,NULL,NULL,195,LAROQHE,0,1991,"in NaOH, [bromite] = 1.8e-2 M"
336.0,NULL,NULL,272.00,NULL,max.,461,GRAY,1436,1977,"cit.p/Soulard, 686(1981)"
336.0,NULL,NULL,NULL,NULL,NULL,833,TAPUHI,157,1982,NULL
337.0,0,0.0,2525.00,NULL,"max. band V",241,RIORDAN,6539,2005,"value determined by the author"
337.0,NULL,NULL,285.00,NULL,max.,461,SOULARD,686,1981,NULL
